번호,구분,화장실명,소재지도로명주소,소재지지번주소,남녀공용화장실여부,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,설치연월,WGS84위도,WGS84경도,화장실소유구분,화장실설치장소유형,오물처리방식,비상벨설치여부,비상벨설치장소,화장실입구CCTV설치유무,기저귀교환대유무,기저귀교환대장소,리모델링연월,데이터기준일자
160,공중화장실,내원정사 옆,부산광역시 서구 보수대로320번길 59,부산광역시 서구 서대신3가 산 2-1,N,1,1,0,0,0,0,2,0,0,부산광역시 서구청 청소행정과,051-240-4441,24시간,2018-06,35.12165329,129.0147816,지방자치단체,공공용시설,수세식,Y,남자화장실+여자화장실,N,N,없음,,2022-02-10
161,공중화장실,구름산책로,부산광역시 서구 송도해변로152,부산광역시 서구 암남동 135-12,N,1,4,1,0,0,0,8,1,0,부산광역시 서구청 청소행정과,051-240-4441,24시간,2017-12,35.07637162,129.0223144,지방자치단체,공공용시설,수세식,Y,남자화장실+여자화장실,N,N,없음,,2022-02-10
162,공중화장실,남항대교 밑,부산광역시 서구 충무대로94번길 40,부산광역시 서구 암남동 123-34,N,1,2,1,0,0,0,2,0,1,부산광역시 서구청 청소행정과,051-240-4441,24시간,2017-05,35.07921925,129.0238318,지방자치단체,공공용시설,수세식,Y,남자화장실+여자화장실,N,Y,남자화장실+여자화장실,,2022-02-10
163,공중화장실,송도 해양레포츠센터 내,부산광역시 서구 송도해변로50,부산광역시 서구 암남동 135-5,N,3,7,0,0,0,0,9,1,1,부산광역시 서구청 청소행정과,051-240-4441,24시간,2013-07,35.07394416,129.0163438,지방자치단체,공공용시설,수세식,Y,남자화장실+여자화장실+장애인화장실,N,Y,여자화장실,,2022-02-10
164,공중화장실,천마산 체육시설,,부산광역시 서구 암남동 산4-26,N,1,0,0,0,0,0,1,0,0,부산광역시 서구청 청소행정과,051-240-4441,24시간,2010-01,35.0878,129.0161,지방자치단체,공공용시설,수거식,N,없음,N,N,없음,,2022-02-10
165,공중화장실,암남동 예비군교장,부산광역시 서구 암남공원로522번길160,부산광역시 서구 암남동 산 87-1,N,1,2,0,0,0,0,2,0,0,부산광역시 서구청 청소행정과,051-240-4441,24시간,2010-01,35.06871759,129.015676,지방자치단체,공공용시설,수거식,Y,남자화장실+여자화장실,N,N,없음,,2022-02-10
166,공중화장실,임해행정봉사실,부산광역시 서구 송도해변로 100,부산광역시 서구 암남동135-5,N,3,8,0,0,0,0,8,1,1,부산광역시 서구청 청소행정과,051-240-4441,24시간,2005-01,35.07682117,129.0180502,지방자치단체,공공용시설,수세식,Y,남자화장실+여자화장실,N,Y,여자화장실,2009-01,2022-02-10
167,개방화장실,다대1동 행정복지센터 화장실,"부산광역시 사하구 다대로530번길 7 (다대동, 다대1동주민센터)",,N,1,1,0,0,0,0,2,0,0,다대1동 행정복지센터,051-220-5331,09:00~18:00,1986-01,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2020-05-28
168,개방화장실,부산기계조합우편취급국,"부산광역시 사하구 다산로106번길 66 (다대동, 조합계량소)",,N,1,1,0,0,0,0,1,0,0,부산기계조합우편취급국,051-266-4520,09:00~18:00,2002-01,,,공공기관,공공용시설,수세식,N,없음,N,N,없음,,2020-05-28
169,공중화장실,다대레포츠광장옆 공중화장실,부산광역시 사하구 다송로,부산광역시 사하구 다대동 1592,N,1,2,1,0,0,0,2,0,0,부산광역시 사하구청,051-220-4925,00:00~23:50,2013-01,,,지방자치단체,관광·체육시설,수거식,Y,,N,Y,,,2020-05-28
170,개방화장실,부산다대2동우체국 화장실,"부산광역시 사하구 다송로 13-4 (다대동, 다대2동우체국)",,Y,2,1,0,0,0,0,2,0,0,부산다대2동우체국,051-262-0030,09:00~18:00,1996-01,,,공공기관,공공용시설,수세식,N,없음,N,N,없음,,2020-05-28
171,공중화장실,아미산35초소경계공중화장실,부산광역시 사하구 다송로 38,,N,2,2,0,0,0,0,3,0,0,부산광역시 사하구청,051-220-4541,00:00~23:50,2017-01,,,지방자치단체,관광·체육시설,수거식,N,없음,N,N,없음,,2020-05-28
172,개방화장실,다대지구대 화장실,부산광역시 사하구 다송로 46 (다대동),,N,1,2,0,0,0,0,1,0,0,부산사하경찰서 생활안전과 다대지구대,051-266-0112,00:00~23:50,1983-01,,,공공기관,공공용시설,수세식,N,없음,N,N,없음,,2020-05-28
173,개방화장실,괴정2 치안센터화장실,"부산광역시 사하구 대티로 46 (괴정동, 괴정2파출소)",,Y,1,1,0,0,0,0,1,0,0,부산사하경찰서 생활안전과 괴정지구대,051-204-0211,00:00~23:50,1983-01,,,공공기관,공공용시설,수세식,N,없음,N,N,없음,,2020-05-28
174,공중화장실,해수욕장 여자전용 화장실,부산광역시 사하구 몰운대1길 14 (다대동),,N,0,0,0,0,0,0,10,1,0,부산광역시 사하구청,051-220-4161,00:00~23:50,2013-01,,,지방자치단체,관광·체육시설,수세식,Y,여자화장실,N,Y,,,2020-05-28
175,공중화장실,해수욕장 중앙주차장 공중화장실,부산광역시 사하구 몰운대1길 14 (다대동),,N,2,2,0,0,0,0,3,0,0,부산광역시 사하구청,051-220-4161,24시간,2013-01,,,지방자치단체,관광·체육시설,수세식,Y,,N,N,없음,,2020-05-28
176,개방화장실,낙조분수대관리동 화장실,"부산광역시 사하구 몰운대1길 14 (다대동, 낙조분수 관리동)",,N,7,11,0,0,0,0,20,0,0,부산광역시 사하구청,051-220-5891,00:00~23:50,2008-01,,,지방자치단체,공공용시설,수세식,Y,,N,Y,,,2020-05-28
177,공중화장실,몰운대입구 공중화장실,"부산광역시 사하구 몰운대1길 14 (다대동, 몰운대입구 공중화장실)",,N,2,2,1,1,0,0,3,1,0,부산광역시 사하구청,051-220-4161,24시간,2011-01,,,지방자치단체,관광·체육시설,수세식,Y,,N,N,없음,,2020-05-28
178,공중화장실,몰운대주차장 서측 공중화장실,"부산광역시 사하구 몰운대1길 14 (다대동, 몰운대주차장 공용화장실)",,N,9,6,1,0,0,0,15,1,0,부산광역시 사하구청,051-220-4161,24시간,2015-01,,,지방자치단체,관광·체육시설,수세식,Y,,N,Y,,,2020-05-28
179,개방화장실,다대포해변공원관리센터 화장실 (1층),"부산광역시 사하구 몰운대1길 14 (다대동, 임해행정봉사실)",,N,2,2,0,0,0,0,3,0,0,부산광역시 사하구청,051-220-4161,09:00~18:00,2013-01,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2020-05-28
180,개방화장실,다대포해변공원관리센터 화장실 (2층),"부산광역시 사하구 몰운대1길 14 (다대동, 임해행정봉사실)",,N,1,2,0,0,0,0,3,0,0,부산광역시 사하구청,051-220-4161,09:00~18:00,2013-01,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2020-05-28
181,개방화장실,다대포해변공원관리센터 화장실 (3층),"부산광역시 사하구 몰운대1길 14 (다대동, 임해행정봉사실)",,N,1,2,0,0,0,0,3,0,0,부산광역시 사하구청,051-220-4161,09:00~18:00,2013-01,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2020-05-28
182,공중화장실,아미산체육공원공중화장실,부산광역시 사하구 보덕포1길 192,,N,1,2,0,0,0,0,2,0,0,부산광역시 사하구청,051-220-4541,00:00~23:50,2011-01,,,지방자치단체,관광·체육시설,수거식,N,없음,N,N,없음,,2020-05-28
183,공중화장실,을숙도대교 공중화장실,부산광역시 사하구 비봉로,,Y,2,2,0,0,0,0,2,0,0,부산광역시 사하구청,051-220-4925,24시간,2012-01,,,지방자치단체,공공용시설,수거식,N,없음,N,N,없음,,2020-05-28
184,공중화장실,싸리골약수터공중화장실,부산광역시 사하구 사리로70번나길 21-1 (괴정동),,N,1,2,0,0,0,0,2,0,0,부산광역시 사하구청,051-220-4541,24시간,2011-01,,,지방자치단체,공공용시설,수거식,Y,,N,N,없음,,2020-05-28
185,개방화장실,부산괴정동우체국 화장실,"부산광역시 사하구 사하로 191 (괴정동, 괴정동우체국)",,N,1,1,0,0,0,0,1,0,0,부산광역시 사하구청,051-204-2005,09:00~18:00,1985-01,,,공공기관,공공용시설,수세식,N,없음,Y,N,없음,,2020-05-28
186,개방화장실,구평동행정복지센터 1층 화장실,"부산광역시 사하구 서포로 48 (구평동, 구평동주민센터)",,N,1,2,0,0,0,0,2,0,0,구평동 행정복지센터,051-220-5391,09:00~18:00,1997-01,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2020-05-28
187,개방화장실,구평동행정복지센터 3층 화장실,"부산광역시 사하구 서포로 48 (구평동, 구평동주민센터)",,N,1,2,0,0,0,0,2,0,0,구평동 행정복지센터,051-220-5391,09:00~18:00,1992-01,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2020-05-28
188,개방화장실,부산광역시립사하도서관 화장실,"부산광역시 사하구 승학로 247 (괴정동, 부산광역시립사하도서관)",,N,2,10,0,0,0,0,2,0,0,부산광역시립사하도서관,051-203-0373,07:00~23:00,1979-01,,,공공기관,공공용시설,수세식,N,없음,N,N,없음,,2020-05-28
189,개방화장실,사하구선거관리위원회 화장실,부산광역시 사하구 승학로108번길 6 (당리동),,N,2,1,0,0,0,0,3,0,0,사하구선거관리위원회,051-204-1390,09:00~18:00,1986-01,,,공공기관,공공용시설,수세식,N,없음,N,N,없음,,2020-05-28
190,개방화장실,신평1동 행정복지센터 화장실(1층),"부산광역시 사하구 신산로 173 (신평동, 신평1동행정복지센터)",,N,1,2,0,0,0,0,1,0,0,사하구 신평1동행정복지센터,051-220-5211,09:00~18:00,1993-01,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2020-05-28
191,개방화장실,신평1동 행정복지센터 화장실(2층),"부산광역시 사하구 신산로 173 (신평동, 신평1동행정복지센터)",,Y,1,0,0,0,0,0,1,0,0,사하구 신평1동 행정복지센터,051-220-5211,09:00~18:00,1986-01,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2020-05-28
192,개방화장실,신평1치안센터화장실,"부산광역시 사하구 신산로 175 (신평동, 신평1파출소)",,Y,1,1,0,0,0,0,1,0,0,부산사하경찰서 생활안전과 신평파출소,051-202-0112,00:00~23:50,1986-01,,,공공기관,공공용시설,수세식,N,없음,N,N,없음,,2020-05-28
193,공중화장실,동매산체육공원공중화장실,부산광역시 사하구 신산북로 91,,N,1,2,0,0,0,0,2,0,0,부산광역시 사하구청,051-220-4541,24시간,2012-01,,,지방자치단체,관광·체육시설,수거식,N,없음,N,N,없음,,2020-05-28
194,공중화장실,옥녀봉공중화장실,부산광역시 사하구 오작로 104-20,,N,1,2,0,0,0,0,2,0,0,부산광역시 사하구청,051-220-4541,24시간,2011-01,,,지방자치단체,관광·체육시설,수거식,N,없음,N,N,없음,,2020-05-28
195,개방화장실,부산사하경찰서 본관 1층 화장실,"부산광역시 사하구 을숙도대로 665 (신평동, 부산사하경찰서)",,N,2,2,0,0,0,0,2,0,0,부산사하경찰서 경무과 경무계,051-290-2218,00:00~23:50,1981-01,,,공공기관,공공용시설,수세식,N,없음,Y,N,없음,,2020-05-28
196,개방화장실,구평치안센터화장실,"부산광역시 사하구 을숙도대로 721 (구평동, 구평치안센터)",,Y,1,0,0,0,0,0,0,0,0,부산사하경찰서 생활안전과 감천지구대,051-208-0112,00:00~23:50,1993-01,,,공공기관,공공용시설,수세식,N,없음,N,N,없음,,2020-05-28
197,개방화장실,부산구평동우편취급국 화장실,부산광역시 사하구 을숙도대로 736 (구평동),,Y,1,1,0,0,0,0,1,0,0,부산구평동우편취급국,051-266-3330,09:00~18:00,1983-01,,,공공기관,공공용시설,수세식,N,없음,Y,N,없음,,2020-05-28
198,공중화장실,장림포구 공중화장실,부산광역시 사하구 장림동 1092,,N,2,2,1,1,0,0,4,1,0,부산광역시 사하구청,051-220-4501,24시간,2016-01,,,지방자치단체,관광·체육시설,수세식,Y,,N,Y,,,2020-05-28
199,공중화장실,장림유수지 공중화장실,부산광역시 사하구 장림로,부산광역시 사하구 장림동 776,N,1,2,0,0,0,0,2,0,0,부산광역시 사하구청,051-220-4925,24시간,2014-01,,,지방자치단체,관광·체육시설,수세식,Y,,N,N,없음,,2020-05-28
200,개방화장실,장림1동행정복지센터 화장실 1층,"부산광역시 사하구 장림로161번길 2 (장림동, 장림1동주민센터)",,N,1,2,0,0,0,0,2,0,0,사하구 장림1동,051-220-5271,09:00~18:00,2000-01,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2020-05-28
201,개방화장실,장림1동행정복지센터 화장실 2층,"부산광역시 사하구 장림로161번길 2 (장림동, 장림1동주민센터)",,N,1,2,0,0,0,0,2,0,0,사하구 장림1동,051-220-5271,09:00~18:00,2000-01,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2020-05-28
202,개방화장실,장림1치안센터 화장실,"부산광역시 사하구 장림로184번길 23 (장림동, 장림1파출소)",,Y,1,1,0,0,0,0,1,0,0,부산사하경찰서 생활안전과 장림파출소,051-261-3571,00:00~23:50,1998-01,,,공공기관,공공용시설,수세식,N,없음,N,N,없음,,2020-05-28
203,개방화장실,장림2동 행정복지센터 화장실(1층),"부산광역시 사하구 장평로 131 (장림동, 장림2동행정복지센터)",,N,1,2,0,0,0,0,2,0,0,장림2동 행정복지센터,051-220-5301,09:00~18:00,1992-01,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2020-05-28
204,개방화장실,장림2동 행정복지센터 화장실(2층),"부산광역시 사하구 장평로 131 (장림동, 장림2동행정복지센터)",,N,1,1,0,0,0,0,2,0,0,장림2동 행정복지센터,051-220-5301,09:00~18:00,1992-01,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2020-05-28
205,개방화장실,장림2동 행정복지센터 화장실(3층),"부산광역시 사하구 장평로 131 (장림동, 장림2동행정복지센터)",,N,1,2,0,0,0,0,2,0,0,장림2동 행정복지센터,051-220-5301,09:00~18:00,1987-01,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2020-05-28
206,개방화장실,부산장림동우체국 화장실,"부산광역시 사하구 장평로 147 (장림동, 장림우체국)",,N,1,1,0,0,0,0,1,0,0,부산장림동우체국,051-261-4005,09:00~18:00,1988-01,,,공공기관,공공용시설,수세식,N,없음,Y,N,없음,,2020-05-28
207,개방화장실,부산신평동우체국 화장실,"부산광역시 사하구 장평로 258 (신평동, 부산신평동우체국)",,Y,2,1,0,0,0,0,2,0,0,부산신평동우체국,051-206-3007,09:00~18:00,1992-01,,,공공기관,공공용시설,수세식,N,없음,N,N,없음,,2020-05-28
208,개방화장실,신평119안전센터 화장실,"부산광역시 사하구 장평로 270 (신평동, 신평사하소방서)",,Y,3,5,0,0,0,0,3,0,0,사하소방서,051-760-4500,00:00~23:50,1995-01,,,공공기관,공공용시설,수세식,N,없음,N,N,없음,,2020-05-28
209,공중화장실,승학산60초소경계공중화장실,부산광역시 사하구 제석로 242,,N,2,2,0,0,0,0,3,0,0,부산광역시 사하구청,051-220-4541,24시간,2015-01,,,지방자치단체,공공용시설,수거식,N,없음,N,N,없음,,2020-05-28
210,공중화장실,승학산61초소경계공중화장실,부산광역시 사하구 제석로 242,,N,2,2,0,0,0,0,4,0,0,부산광역시 사하구청,051-220-4541,24시간,2012-01,,,지방자치단체,공공용시설,수거식,N,없음,N,N,없음,,2020-05-28
211,공중화장실,승학산62초소경계공중화장실,부산광역시 사하구 제석로 242,,N,1,2,0,0,0,0,3,0,0,부산광역시 사하구청,051-220-4541,24시간,2014-01,,,지방자치단체,공공용시설,수거식,N,없음,N,N,없음,,2020-05-28
212,공중화장실,제석골체육공원공중화장실,부산광역시 사하구 제석로 242,,N,1,1,0,0,0,0,2,0,0,부산광역시 사하구청,051-220-4541,24시간,2012-01,,,지방자치단체,관광·체육시설,수세식,N,없음,N,N,없음,,2020-05-28
213,공중화장실,나루쉼터공중화장실,부산광역시 사하구 하단동 1203,,N,1,1,0,0,0,0,2,0,0,부산광역시 사하구청,051-220-4534,24시간,2012-01,,,지방자치단체,관광·체육시설,수거식,Y,,N,N,없음,,2020-05-28
214,공중화장실,에덴음수대공중화장실,부산광역시 사하구 하단동 786-1,,N,1,1,0,0,0,0,2,0,0,부산광역시 사하구청,051-220-4521,24시간,2013-01,,,지방자치단체,관광·체육시설,수세식,N,없음,N,N,없음,,2020-05-28
215,공중화장실,에덴게이트볼공중화장실,부산광역시 사하구 하단동 786-1,,N,1,1,0,0,0,0,2,0,0,부산광역시 사하구청,051-220-4521,24시간,2010-01,,,지방자치단체,관광·체육시설,수거식,N,없음,N,N,없음,,2020-05-28
216,공중화장실,신평레포츠공원 공중화장실,부산광역시 사하구 하신번영로 119 (신평동),,N,2,2,1,0,0,0,2,1,0,부산광역시 사하구청,051-220-4121,24시간,2010-01,,,지방자치단체,관광·체육시설,수세식,Y,,N,N,없음,,2020-05-28
217,개방화장실,신평2동 행정복지센터 화장실,"부산광역시 사하구 하신번영로 137 (신평동, 신평2동주민센터)",,N,1,2,0,0,0,0,1,0,0,신평2동행정복지센터,051-220-5246,09:00~18:00,1992-01,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2020-05-28
218,개방화장실,부산신평2동우체국 화장실,"부산광역시 사하구 하신번영로 179 (신평동, 신평2동우체국)",,Y,2,1,0,0,0,0,2,0,0,부산신평2동우체국,051-292-2005,09:00~18:00,1990-01,,,공공기관,공공용시설,수세식,N,없음,N,N,없음,,2020-05-28
219,공중화장실,하단주민어울마당 공중화장실,부산광역시 사하구 하신번영로 243,,N,2,2,1,0,0,0,3,1,0,부산광역시 사하구청,051-220-4125,24시간,2015-01,,,지방자치단체,관광·체육시설,수세식,Y,,N,N,없음,,2020-05-28
220,개방화장실,부산하단2동우편취급국 화장실,"부산광역시 사하구 하신번영로 364 (하단동, 하단2동우편물취급소)",,Y,1,0,0,0,0,0,1,0,0,부산하단2동우편취급국,051-208-4777,09:00~18:00,1996-01,,,공공기관,공공용시설,수세식,N,없음,N,N,없음,,2020-05-28
221,개방화장실,하단2동 행정복지센터 1층 화장실,"부산광역시 사하구 하신번영로 377 (하단동, 하단2동주민센터)",,N,1,2,0,0,0,0,2,0,0,사하구 하단2동,051-220-5181,09:00~18:00,1983-01,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2020-05-28
222,개방화장실,하단2동 행정복지센터 2층 화장실,"부산광역시 사하구 하신번영로 377 (하단동, 하단2동주민센터)",,N,1,2,0,0,0,0,2,0,0,사하구 하단2동,051-220-5181,09:00~21:00,1991-01,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2020-05-28
223,개방화장실,사하구 보건소 화장실 (1층),"부산광역시 사하구 하신번영로127번길 2 (신평동, 사하구보건소)",,N,2,3,0,0,0,0,2,0,0,사하구 보건소,051-220-5701,09:00~18:00,1985-01,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2020-05-28
224,개방화장실,사하구 보건소 화장실 (2층),"부산광역시 사하구 하신번영로127번길 2 (신평동, 사하구보건소)",,N,2,2,0,0,0,0,3,0,0,사하구 보건소,051-220-5701,09:00~18:00,1986-01,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2020-05-28
225,개방화장실,신평파출소화장실,부산광역시 사하구 하신중앙로 171 (신평동),,N,1,1,0,0,0,0,1,0,0,부산사하경찰서 생활안전과 신평파출소,051-204-2924,00:00~23:50,1982-01,,,공공기관,공공용시설,수세식,N,없음,N,N,없음,,2020-05-28
226,개방화장실,하단1동 행정복지센터 2층 화장실,부산광역시 사하구 하신중앙로 308,,Y,1,2,0,0,0,0,1,0,0,사하구 하단1동,051-220-5151,09:00~18:00,1979-01,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2020-05-28
227,개방화장실,하단1동행정복지센터 화장실,"부산광역시 사하구 하신중앙로 308 (하단동, 하단1동주민센터)",,N,2,3,0,0,0,0,3,0,0,하단1동행정복지센터,051-220-5151,09:00~18:00,1980-01,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2020-05-28
228,공중화장실,로울러 경기장,부산광역시 사하구 낙동남로1233번길 38 (하단동),부산광역시 사하구 하단동 1149-2,N,2,3,1,0,0,0,3,1,0,부산광역시 사하구청,051-220-5857,24시간,2000-01,,,지방자치단체,관광·체육시설,수세식,Y,여자화장실+남자화장실+장애인화장실,N,N,없음,,2020-08-15
229,공중화장실,해수욕장 남자전용 화장실,"부산광역시 사하구 몰운대1길 14, 임해행정봉사실,다대1동행정복지센터 (다대동)","부산광역시 사하구 다대동 482-3 임해행정봉사실,다대1동행정복지센터",N,2,7,1,0,0,0,0,0,0,부산광역시 사하구청,051-220-4161,00:00~23:50,2013-01,,,지방자치단체,관광·체육시설,수세식,N,없음,N,N,없음,,2020-08-15
230,공중화장실,다대포 동측해안 화장실,부산광역시 사하구 몰운대2길 35 (다대동),부산광역시 사하구 다대동 468-26,N,2,2,1,0,0,0,3,1,0,부산광역시 사하구청,051-220-4925,24시간,2020-06,,,지방자치단체,관광·체육시설,수세식,Y,여자화장실+남자화장실,N,N,없음,,2020-08-15
231,공중화장실,괴정오작교 체육공원 공중화장실,부산광역시 사하구 괴정동 산 79-2,부산광역시 사하구 괴정동 산 79-2,N,1,2,1,0,0,0,2,1,0,부산광역시 사하구청,051-220-4125,24시간,2018-01,,,지방자치단체,공공용시설,수세식,Y,,Y,Y,,,2020-05-28
232,공중화장실,감천문화마당 공중화장실,부산광역시 사하구 감내1로 145 (감천동),,N,1,2,1,0,0,0,2,0,0,부산광역시 사하구청,051-220-5925,24시간,2011-01,,,지방자치단체,관광·체육시설,수세식,Y,,Y,N,없음,,2020-05-28
233,공중화장실,감천문화마을 공중화장실,부산광역시 사하구 감내2로 197 (감천동),,N,2,2,0,0,0,0,3,0,0,부산광역시 사하구청,051-220-5925,24시간,2011-01,,,지방자치단체,관광·체육시설,수세식,Y,,N,N,없음,,2020-05-28
234,간이화장실,에너지테마파크 하단부 공중화장실,부산광역시 사하구 감천항로 7 (감천동),,N,1,2,0,0,0,0,2,0,0,부산광역시 사하구청,051-220-4111,24시간,2017-01,,,지방자치단체,관광·체육시설,수세식,N,없음,N,N,없음,,2020-05-28
235,개방화장실,부산괴정2동우편취급국 화장실,부산광역시 사하구 까치고개로 6 (괴정동),,Y,1,0,0,0,0,0,1,0,0,부산괴정2동우편취급국,051-203-0003,09:00~18:00,2003-01,,,공공기관,공공용시설,수세식,N,없음,N,N,없음,,2020-05-28
236,공중화장실,문화재관리사무소 공중화장실,부산광역시 사하구 낙동남로 1250,,N,2,2,1,0,0,0,3,0,0,부산광역시 사하구청,051-220-4068,24시간,2012-01,,,지방자치단체,공공용시설,수세식,Y,,N,Y,,,2020-05-28
237,개방화장실,하단119안전센터 화장실,"부산광역시 사하구 낙동남로 1407 (하단동, 하단소방파출소)",,N,1,1,0,0,0,0,1,0,0,사하소방서,051-760-4500,00:00~23:50,1979-01,,,공공기관,공공용시설,수세식,N,없음,N,Y,,,2020-05-28
238,공중화장실,을숙도음수대 공중화장실,"부산광역시 사하구 낙동남로1233번길 34 (하단동, 을숙도휴게소)",,N,2,2,1,0,0,0,3,1,0,부산광역시 사하구청,051-220-5857,24시간,2010-01,,,지방자치단체,관광·체육시설,수세식,Y,,N,N,없음,,2020-05-28
239,공중화장실,을숙도게이트볼장 공중화장실,"부산광역시 사하구 낙동남로1233번길 34 (하단동, 을숙도휴게소)",,N,2,2,1,0,0,0,2,1,0,부산광역시 사하구청,051-220-5857,24시간,2001-01,,,지방자치단체,관광·체육시설,수세식,Y,,N,N,없음,,2020-05-28
240,공중화장실,을숙도 축구장 공중화장실,"부산광역시 사하구 낙동남로1233번길 34 (하단동, 을숙도휴게소)",,N,2,3,1,1,0,0,2,1,0,부산광역시 사하구청,051-220-5857,24시간,2016-01,,,지방자치단체,관광·체육시설,수세식,Y,,N,N,없음,,2020-05-28
241,공중화장실,을숙도인라인 경기장 공중화장실,부산광역시 사하구 낙동남로1233번길 38,,N,2,3,1,0,0,0,2,1,0,부산광역시 사하구청,051-220-5857,24시간,2016-01,,,지방자치단체,관광·체육시설,수세식,Y,,N,N,없음,,2020-05-28
242,개방화장실,하단2치안센터 화장실,"부산광역시 사하구 낙동남로1423번길 106 (하단동, 하단2파출소)",,Y,1,1,0,0,0,0,1,0,0,부산사하경찰서 생활안전과 하단지구대,051-208-0550,00:00~23:50,1997-01,,,공공기관,공공용시설,수세식,N,없음,N,N,없음,,2020-05-28
243,개방화장실,부산하단동우체국 화장실,"부산광역시 사하구 낙동남로1423번길 8 (하단동, 부산하단우체국)",,N,1,1,0,0,0,0,1,0,0,부산광역시 사하구청,051-293-0205,09:00~18:00,1984-01,,,공공기관,공공용시설,수세식,N,없음,Y,N,없음,,2020-05-28
244,개방화장실,괴정3 치안센터화장실,부산광역시 사하구 낙동대로 188 (괴정동),,Y,1,2,0,0,0,0,1,0,0,부산사하경찰서 생활안전과 괴정지구대,051-291-9857,00:00~23:50,1993-01,,,공공기관,공공용시설,수세식,N,없음,N,N,없음,,2020-05-28
245,개방화장실,상수도사업본부 사하사업소화장실,"부산광역시 사하구 낙동대로 239 (괴정동, 부산시수도사업본부사하영업소)",,N,4,5,0,0,0,0,4,0,0,상수도사업본부 사하사업소,051-669-5410,09:00~06:00,1991-01,,,공공기관,공공용시설,수세식,N,없음,N,N,없음,,2020-05-28
246,개방화장실,괴정119안전센터 화장실,부산광역시 사하구 낙동대로 262 (괴정동),,Y,1,1,0,0,0,0,1,0,0,사하소방서,051-760-4500,00:00~23:50,1975-01,,,공공기관,공공용시설,수세식,N,없음,N,N,없음,,2020-05-28
247,개방화장실,괴정지구대 화장실,"부산광역시 사하구 낙동대로 264 (괴정동, 괴정지구대)",,N,1,1,0,0,0,0,1,0,0,부산사하경찰서 생활안전과 장림파출소,051-292-0070,00:00~23:50,1988-01,,,공공기관,공공용시설,수세식,N,없음,Y,N,없음,,2020-05-28
248,개방화장실,부산사하우체국 화장실,"부산광역시 사하구 낙동대로 346 (당리동, 부산사하우체국)",,N,2,3,0,0,0,0,2,0,0,부산광역시 사하구청,051-209-7080,09:00~18:00,1982-01,,,공공기관,공공용시설,수세식,N,없음,Y,N,없음,,2020-05-28
249,개방화장실,당리치안센터 화장실,"부산광역시 사하구 낙동대로390번길 5 (당리동, 당리1치안센터)",,Y,1,1,0,0,0,0,1,0,0,부산사하경찰서 생활안전과 하단지구대,051-204-3531,00:00~23:50,1978-01,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2020-05-28
250,개방화장실,사하구청(본관),"부산광역시 사하구 낙동대로398번길 12 (당리동, 사하구청)",,N,3,4,0,0,0,0,6,0,0,부산광역시 사하구청,051-220-4154,00:00~23:50,1996-01,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2020-05-28
251,개방화장실,사하구청(제1별관),"부산광역시 사하구 낙동대로398번길 12 (당리동, 사하구청)",,N,1,3,0,0,0,0,3,0,0,부산광역시 사하구청,051-220-4154,00:00~23:50,1981-01,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2020-05-28
252,개방화장실,사하구청(제2별관),부산광역시 사하구 낙동대로398번길 22 (당리동),,N,1,1,0,0,0,0,1,0,0,부산광역시 사하구청,051-220-4154,09:00~18:00,2006-01,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2020-05-28
253,개방화장실,부산다대동우체국화장실,"부산광역시 사하구 다대낙조1길 21 (다대동, 다대1동우체국)",,Y,2,2,0,0,0,0,2,0,0,부산다대동우체국,051-261-0205,09:00~18:00,1987-01,,,공공기관,공공용시설,수세식,N,없음,N,N,없음,,2020-05-28
